Gene stable ID	Mouse gene stable ID	Mouse gene name	Gene name
ENSG00000200545			AL157895.1
ENSG00000263625			SNORD117
ENSG00000252776			RNU4ATAC10P
ENSG00000252217			AC011846.1
ENSG00000212597			RNU6-876P
ENSG00000251999			AC018645.2
ENSG00000223315			RN7SKP279
ENSG00000276229	ENSMUSG00000099317	Gm27610	AC012354.5
ENSG00000265181			MIR4674
ENSG00000266133			MIR4759
ENSG00000199422			VTRNA3-1P
ENSG00000202542			AC023355.1
ENSG00000221216	ENSMUSG00000089136	Gm24922	RNU6ATAC27P
ENSG00000221216	ENSMUSG00000080425	Gm24833	RNU6ATAC27P
ENSG00000252041			RNA5SP228
ENSG00000199290			AL645939.1
ENSG00000252200	ENSMUSG00000093784	Gm22394	AC243964.2
ENSG00000200555			RNU6-525P
ENSG00000222832			RNA5SP120
ENSG00000200801			SNORD115-28
ENSG00000238759			RNU7-155P
ENSG00000276147			MIR548AY
ENSG00000212395			AL160271.1
ENSG00000275589	ENSMUSG00000099099	Gm27337	AC012531.5
ENSG00000207168	ENSMUSG00000093413	Snora15	SNORA15
ENSG00000202093			SNORD58C
ENSG00000206960			RNU6-793P
ENSG00000201998	ENSMUSG00000064451	Snora23	SNORA23
ENSG00000207176			AC087245.1
ENSG00000222365	ENSMUSG00000077294	Gm24123	SNORD12B
ENSG00000223047			RNU6-847P
ENSG00000240151			RN7SL826P
ENSG00000263705			MIR5689
ENSG00000241550			RN7SL41P
ENSG00000276015			AC021424.2
ENSG00000274017			AC010173.2
ENSG00000199295			RNU6-1312P
ENSG00000243782			RN7SL78P
ENSG00000239625			RN7SL241P
ENSG00000251794			RNU6-237P
ENSG00000273752			GU182341.1
ENSG00000252258			AP005431.1
ENSG00000207368			AC091633.1
ENSG00000200622			RNU6-1059P
ENSG00000252082	ENSMUSG00000089479	Gm25362	RNU6-547P
ENSG00000274323			CU457734.1
ENSG00000207573			MIR550A2
ENSG00000201000			RNA5SP516
ENSG00000270722			RNVU1-31
ENSG00000263666			SNORA70D
ENSG00000212373			RNA5SP171
ENSG00000276608			CR759960.4
ENSG00000202515			VTRNA1-3
ENSG00000284012			MIR6840
ENSG00000207192			RNU6-649P
ENSG00000201151			AL135844.1
ENSG00000212384			SNORD113-2
ENSG00000275803			RN7SL736P
ENSG00000273739			AL353644.1
ENSG00000199571	ENSMUSG00000088144	Gm24559	AC121336.1
ENSG00000222741			RNA5SP229
ENSG00000275587			AC244207.1
ENSG00000252705			RNU6-175P
ENSG00000276263			TFPT
ENSG00000200215	ENSMUSG00000088294	AF357425	SNORD113-6
ENSG00000200215	ENSMUSG00000088587	Gm22962	SNORD113-6
ENSG00000222285			RNA5SP193
ENSG00000273593			MIR7160
ENSG00000223330			RNU6-1052P
ENSG00000275856	ENSMUSG00000099318	Gm27735	AL669914.2
ENSG00000275856	ENSMUSG00000098479	Gm27263	AL669914.2
ENSG00000222418			RNA5SP113
ENSG00000199398			AC068657.1
ENSG00000212587			SNORA40C
ENSG00000207031	ENSMUSG00000064778	Snord59a	SNORD59A
ENSG00000263941			RN7SL32P
ENSG00000243346			RN7SL601P
ENSG00000252922			RNU6-365P
ENSG00000206622	ENSMUSG00000077276	Gm22784	SNORA69
ENSG00000206622	ENSMUSG00000065642	Snora69	SNORA69
ENSG00000264638			MIR3152
ENSG00000207515			RNU6-555P
ENSG00000252084			RN7SKP12
ENSG00000273658	ENSMUSG00000099112	Gm27406	AC023509.4
ENSG00000199728			RNU6-655P
ENSG00000274208			AF250324.2
ENSG00000278822			AL049692.6
ENSG00000222821			RNU4-27P
ENSG00000275304			CU459006.1
ENSG00000264706			RN7SL217P
ENSG00000266514			MIR3689F
ENSG00000202269			AC016651.1
ENSG00000222972	ENSMUSG00000088620	Gm23032	RNU6-651P
ENSG00000201679			SNORD115-15
ENSG00000202100			AC005899.1
ENSG00000222459			RNA5SP293
ENSG00000266160			RN7SL612P
ENSG00000202356			RNA5SP277
ENSG00000238965			RNA5SP351
ENSG00000199901			AC104066.1
ENSG00000252108			RNU6-1232P
ENSG00000223190	ENSMUSG00000084674	Gm26027	RN7SKP100
ENSG00000222302			RNA5SP371
ENSG00000252436			AC092567.2
ENSG00000273839			AC243660.1
ENSG00000266375			AL773544.1
ENSG00000264313			RN7SL644P
ENSG00000207305			AL049650.1
ENSG00000207108			AL133383.2
ENSG00000243911			RN7SL430P
ENSG00000252699	ENSMUSG00000098813	Gm27326	SNORA21B
ENSG00000274072			AP000769.3
ENSG00000243005			RN7SL16P
ENSG00000212516			RNU6-1268P
ENSG00000201470			RNY4P7
ENSG00000207194	ENSMUSG00000088482	Gm23641	RNU6-1026P
ENSG00000222457	ENSMUSG00000098486	Gm27385	RNU6-121P
ENSG00000201209			AL023281.2
ENSG00000202533			AC116366.1
ENSG00000222170	ENSMUSG00000088490	Gm24400	RNU6-257P
ENSG00000243738			RN7SL181P
ENSG00000207345	ENSMUSG00000093983	Gm25431	RNU6-1222P
ENSG00000278715	ENSMUSG00000077772	Gm22373	SNORD116-20
ENSG00000276200			RN7SL820P
ENSG00000222244			RNA5SP431
ENSG00000252037	ENSMUSG00000065011	Gm23506	RNU6-162P
ENSG00000242865			RN7SL244P
ENSG00000221468			RNU6ATAC11P
ENSG00000212505			RNA5SP299
ENSG00000200340	ENSMUSG00000065014	Gm23509	RNU1-105P
ENSG00000206912			AC010460.1
ENSG00000274597			GU182339.1
ENSG00000242651			RN7SL862P
ENSG00000202411			RNA5SP259
ENSG00000238884			RNU7-85P
ENSG00000264202			SNORD48
ENSG00000200653	ENSMUSG00000064606	Gm25899	RNU4-92P
ENSG00000266626			BX247900.1
ENSG00000274135			AC073335.2
ENSG00000240606			RN7SL564P
ENSG00000266884			AL929581.3
ENSG00000212615	ENSMUSG00000065853	Gm22354	AL121809.1
ENSG00000212615	ENSMUSG00000064871	Snord58b	AL121809.1
ENSG00000201025	ENSMUSG00000064440	Gm26224	SNORD74B
ENSG00000278063			GU182338.2
ENSG00000274759	ENSMUSG00000089259	Gm25712	RNA5SP527
ENSG00000273928			AC245369.1
ENSG00000206962			RNU6-74P
ENSG00000238829			RNU7-45P
ENSG00000251742			RN7SKP13
ENSG00000223078			RNU2-55P
ENSG00000244194	ENSMUSG00000093056	Gm24812	RN7SL218P
ENSG00000238785			RNU7-92P
ENSG00000264615			RN7SL592P
ENSG00000238941	ENSMUSG00000064964	Gm25147	RNU6-953P
ENSG00000207380			AL035461.1
ENSG00000200361			AC080097.1
ENSG00000206936			RNU4-52P
ENSG00000201579	ENSMUSG00000094440	Gm25453	RNU6-343P
ENSG00000273937			AL592188.2
ENSG00000240545			RN7SL492P
ENSG00000278714			AL929561.5
ENSG00000276002			AC020906.1
ENSG00000252560			RNU4-18P
ENSG00000252936			RNA5SP423
ENSG00000252770			RNU7-4P
ENSG00000281771			AL512455.1
ENSG00000200241			AC009309.1
ENSG00000252962	ENSMUSG00000084753	Gm22452	RNU6-993P
ENSG00000252962	ENSMUSG00000088432	Gm25384	RNU6-993P
ENSG00000252183			RNU6-948P
ENSG00000199409			AC011382.1
ENSG00000200446			RNU6-1085P
ENSG00000252426	ENSMUSG00000065371	Gm22739	RNU1-107P
ENSG00000252171			AC091117.1
ENSG00000201612	ENSMUSG00000064999	Gm26035	RN7SKP15
ENSG00000252083			AC026784.2
ENSG00000207331			RNU6-1263P
ENSG00000252030	ENSMUSG00000089546	Gm25839	RNU6-1196P
ENSG00000202491			RNU6-716P
ENSG00000252890	ENSMUSG00000065261	Gm23452	RNU6-699P
ENSG00000277752			AL137060.8
ENSG00000252391	ENSMUSG00000088119	Gm24060	RNU6-638P
ENSG00000223298			RNY3P8
ENSG00000201469			RNA5SP379
ENSG00000277592			AC126121.4
ENSG00000199283	ENSMUSG00000064485	Gm23735	RNU1-58P
ENSG00000239437			RN7SL752P
ENSG00000201223			RNU6-1305P
ENSG00000221719	ENSMUSG00000077575	Gm24888	SNORA3C
ENSG00000222150			RNA5SP239
ENSG00000200872			RNA5SP456
ENSG00000206661			AC019176.1
ENSG00000201088			AC013467.1
ENSG00000274357			AL139320.1
ENSG00000276189			AL136528.3
ENSG00000199536	ENSMUSG00000088758	Gm24898	RNU6-315P
ENSG00000200468			RNA5SP403
ENSG00000252490	ENSMUSG00000088118	Gm24059	RN7SKP66
ENSG00000199792			RNU6-1233P
ENSG00000277677			AC090971.7
ENSG00000207511	ENSMUSG00000065714	Gm25652	RNU6-771P
ENSG00000207511	ENSMUSG00000094275	Gm22290	RNU6-771P
ENSG00000243968			RN7SL402P
ENSG00000277635			AC076971.1
ENSG00000201264	ENSMUSG00000064390	Rnu73b	SNORD73B
ENSG00000241227			RN7SL553P
ENSG00000253074			RNU6-586P
ENSG00000252069			AL590647.1
ENSG00000252001			RNA5SP303
ENSG00000241082			RN7SL259P
ENSG00000206718	ENSMUSG00000065132	Gm24456	RNU6-546P
ENSG00000251891			RNU7-79P
ENSG00000239726			RN7SL688P
ENSG00000199442			AC099570.1
ENSG00000277754			AL355836.2
ENSG00000223142	ENSMUSG00000084640	Gm24383	RN7SKP252
ENSG00000238457			RNU7-169P
ENSG00000239148	ENSMUSG00000089313	Gm23182	AL391427.3
ENSG00000275996			SNORD27
ENSG00000240613			RN7SL98P
ENSG00000207156	ENSMUSG00000065330	Gm25755	RNU6-505P
ENSG00000199568	ENSMUSG00000095892	Rnu5g	RNU5A-1
ENSG00000252415			RNU6-1012P
ENSG00000199299			RNA5SP430
ENSG00000207481			AC095043.1
ENSG00000222389			RNU2-28P
ENSG00000240772			RN7SL776P
ENSG00000200615			AC107939.1
ENSG00000242818			RN7SL846P
ENSG00000201368			AC027347.1
ENSG00000274008			AL442635.1
ENSG00000200693			AL136038.1
ENSG00000252944			RNU6-897P
ENSG00000278045			AL049692.5
ENSG00000273709			AC024051.1
ENSG00000206611	ENSMUSG00000065258	Gm23969	SNORD24
ENSG00000253025			RNU2-12P
ENSG00000238782			RNU7-9P
ENSG00000206921	ENSMUSG00000064728	Gm25851	RNU6-481P
ENSG00000201208			AC089999.2
ENSG00000202260	ENSMUSG00000088749	Gm23218	RN7SKP69
ENSG00000276140			AC015599.1
ENSG00000283675			AC004448.4
ENSG00000252550	ENSMUSG00000088335	Gm22843	AL138701.1
ENSG00000222154			RN7SKP218
ENSG00000274401			CR388205.3
ENSG00000278643	ENSMUSG00000099192	Gm27373	AC006127.1
ENSG00000239003			RNU7-88P
ENSG00000202023	ENSMUSG00000064573	Gm25802	AC078842.1
ENSG00000202023	ENSMUSG00000065228	Gm25789	AC078842.1
ENSG00000265386			RN7SL219P
ENSG00000264915			CR354443.2
ENSG00000201314			AC108206.1
ENSG00000207460	ENSMUSG00000077772	Gm22373	SNORD116-19
ENSG00000200759			RNU6-884P
ENSG00000274408	ENSMUSG00000064631	n-R5s42	RNA5SP536
ENSG00000252422			RNA5SP476
ENSG00000277922			AC004386.6
ENSG00000266841			CR759747.1
ENSG00000240847			RN7SL497P
ENSG00000212579			AL033519.1
ENSG00000221164	ENSMUSG00000080622	Gm22676	SNORA11F
ENSG00000278331	ENSMUSG00000084442	Gm26253	RNU6-156P
ENSG00000200176			RNU1-19P
ENSG00000263672			RN7SL750P
ENSG00000207505			RNU6-1105P
ENSG00000199306			RNU6-858P
ENSG00000251947			RN7SKP164
ENSG00000212495			RNU6-332P
ENSG00000278457			ABBA01037348.1
ENSG00000206997			RNU6-524P
ENSG00000252553			RNA5SP73
ENSG00000244677			RN7SL706P
ENSG00000207279	ENSMUSG00000077772	Gm22373	SNORD116-24
ENSG00000207265			AC010320.1
ENSG00000277591			RN7SL575P
ENSG00000240502			RN7SL837P
ENSG00000212187			AC092814.1
ENSG00000201339			AC117474.1
ENSG00000221031			AC104389.1
ENSG00000222881			AC080112.1
ENSG00000265674			CR925727.1
ENSG00000273596			AC106873.3
ENSG00000277946			RN7SL478P
ENSG00000200534			SNORA33
ENSG00000275128			RN7SL203P
ENSG00000274303	ENSMUSG00000089312	Gm22257	AP000659.1
ENSG00000199627			RNU6-1010P
ENSG00000265733	ENSMUSG00000077611	Gm23946	SNORA74C-1
ENSG00000252116			RNU4ATAC4P
ENSG00000276442			RNA5SP529
ENSG00000201312			RNA5SP72
ENSG00000243254			RN7SL350P
ENSG00000251802			AC004788.1
ENSG00000202385			AL160008.1
ENSG00000238704			RNU7-97P
ENSG00000222950			RN7SKP262
ENSG00000283509			AC083799.2
ENSG00000274018			AL049542.3
ENSG00000274866	ENSMUSG00000098816	Gm27786	AC051649.2
ENSG00000263869			AL670296.1
ENSG00000212154			RNA5SP377
ENSG00000273496			AC011841.1
ENSG00000222057			RNU4-62P
ENSG00000222287			RNU6-1043P
ENSG00000201708			RNA5SP359
ENSG00000207289			RNU6-1235P
ENSG00000243957			RN7SL647P
ENSG00000212396			RNA5SP323
ENSG00000251720			RNU7-123P
ENSG00000206722			RNU6-1074P
ENSG00000241223			RN7SL39P
ENSG00000222314			RNU6-1118P
ENSG00000277707			AC012314.15
ENSG00000277469			AC004080.10
ENSG00000199975			RN7SKP243
ENSG00000265325			SNORD84
ENSG00000252273	ENSMUSG00000089539	Gm25160	RNU6-426P
ENSG00000240098			RN7SL351P
ENSG00000201012			AL133544.1
ENSG00000238560			AC004980.4
ENSG00000222255	ENSMUSG00000088285	Gm23589	RNU6-101P
ENSG00000252444			RNU6-344P
ENSG00000239129			AC104982.1
ENSG00000222806			RNA5SP225
ENSG00000199552	ENSMUSG00000065884	Gm22864	AC093264.1
ENSG00000199552	ENSMUSG00000064382	Gm26447	AC093264.1
ENSG00000252856			RNA5SP503
ENSG00000266210			RN7SL371P
ENSG00000207306			RNU6-1152P
ENSG00000266464			CR936877.1
ENSG00000212541			RNU6-510P
ENSG00000252214			RNU6-542P
ENSG00000251955			RNU6-27P
ENSG00000281295	ENSMUSG00000089447	Gm22532	Z69713.1
ENSG00000222385			RN7SKP158
ENSG00000207163	ENSMUSG00000088760	Gm24393	RNU6-905P
ENSG00000199327	ENSMUSG00000088622	Gm23316	RNU6-230P
ENSG00000252980			RNU6-367P
ENSG00000206918	ENSMUSG00000064685	Gm25812	RNU6-1181P
ENSG00000206918	ENSMUSG00000064958	Gm24921	RNU6-1181P
ENSG00000206918	ENSMUSG00000065321	Gm22057	RNU6-1181P
ENSG00000238923			RNU7-1
ENSG00000206659			Z99297.1
ENSG00000238324			RN7SKP198
ENSG00000266759			AL670886.1
ENSG00000242315			RN7SL685P
ENSG00000206917	ENSMUSG00000064485	Gm23735	RNU1-52P
ENSG00000223341			RN7SKP3
ENSG00000207007			RNU6-891P
ENSG00000242853			RN7SL749P
ENSG00000251717			RNA5SP419
ENSG00000252556	ENSMUSG00000088494	Gm24399	RNU6-256P
ENSG00000241631			RN7SL316P
ENSG00000199331			AL354797.1
ENSG00000274841			AL590627.2
ENSG00000199900			RNA5SP463
ENSG00000264704			BX120007.3
ENSG00000251714			RN7SKP67
ENSG00000206957			AC025270.1
ENSG00000222921			RNA5SP104
ENSG00000263598			CR936883.1
ENSG00000199837			RNA5SP71
ENSG00000206747			RNU6-245P
ENSG00000239197			AC090985.1
ENSG00000252182			RNA5SP413
ENSG00000202495			AC235789.1
ENSG00000242483			RN7SL293P
ENSG00000222920			RNA5SP29
ENSG00000277994	ENSMUSG00000098572	Gm27443	AC012531.7
ENSG00000277263			AL662796.1
ENSG00000222747			RNA5SP25
ENSG00000251705			RNA5-8SP6
ENSG00000207379			AL137159.1
ENSG00000202285			RNU6-117P
ENSG00000200926			RNU6-960P
ENSG00000277809	ENSMUSG00000098828	Gm27283	AC012354.8
ENSG00000265138			CR753815.1
ENSG00000202279			AL683813.1
ENSG00000241172			RN7SL70P
ENSG00000275680			AC100832.3
ENSG00000277653	ENSMUSG00000098669	Gm27580	AL354709.2
ENSG00000212528	ENSMUSG00000095885	Gm26432	SNORD115-47
ENSG00000212528	ENSMUSG00000093994	Gm26498	SNORD115-47
ENSG00000212528	ENSMUSG00000093870	Gm25461	SNORD115-47
ENSG00000212528	ENSMUSG00000094567	Gm25230	SNORD115-47
ENSG00000212528	ENSMUSG00000096565	Gm24100	SNORD115-47
ENSG00000212528	ENSMUSG00000095911	Gm24528	SNORD115-47
ENSG00000212528	ENSMUSG00000094129	Gm23944	SNORD115-47
ENSG00000212528	ENSMUSG00000093854	Gm24310	SNORD115-47
ENSG00000212528	ENSMUSG00000094049	Gm26283	SNORD115-47
ENSG00000212528	ENSMUSG00000096046	Gm24969	SNORD115-47
ENSG00000212528	ENSMUSG00000094604	Gm25874	SNORD115-47
ENSG00000212528	ENSMUSG00000096359	Gm25710	SNORD115-47
ENSG00000212528	ENSMUSG00000095671	Gm25098	SNORD115-47
ENSG00000212528	ENSMUSG00000094059	Gm23471	SNORD115-47
ENSG00000212528	ENSMUSG00000095220	Gm23560	SNORD115-47
ENSG00000212528	ENSMUSG00000094068	Gm25156	SNORD115-47
ENSG00000212528	ENSMUSG00000094095	Gm25648	SNORD115-47
ENSG00000212528	ENSMUSG00000095511	Gm24137	SNORD115-47
ENSG00000212528	ENSMUSG00000095764	Gm25840	SNORD115-47
ENSG00000212528	ENSMUSG00000095997	Gm24702	SNORD115-47
ENSG00000212528	ENSMUSG00000096287	Gm22252	SNORD115-47
ENSG00000212528	ENSMUSG00000095501	Gm22449	SNORD115-47
ENSG00000212528	ENSMUSG00000094554	Gm22391	SNORD115-47
ENSG00000212528	ENSMUSG00000077681	Gm22496	SNORD115-47
ENSG00000212528	ENSMUSG00000094765	Gm25523	SNORD115-47
ENSG00000212528	ENSMUSG00000093997	Gm26499	SNORD115-47
ENSG00000212528	ENSMUSG00000096799	Gm22996	SNORD115-47
ENSG00000212528	ENSMUSG00000096913	Gm24866	SNORD115-47
ENSG00000212528	ENSMUSG00000094308	Gm24926	SNORD115-47
ENSG00000212528	ENSMUSG00000094883	Gm25121	SNORD115-47
ENSG00000212528	ENSMUSG00000095357	Gm23286	SNORD115-47
ENSG00000212528	ENSMUSG00000096814	Gm25085	SNORD115-47
ENSG00000212528	ENSMUSG00000094522	Gm22912	SNORD115-47
ENSG00000212528	ENSMUSG00000094099	Gm25823	SNORD115-47
ENSG00000212528	ENSMUSG00000094442	Gm25452	SNORD115-47
ENSG00000212528	ENSMUSG00000096028	Gm25984	SNORD115-47
ENSG00000212528	ENSMUSG00000094458	Gm22627	SNORD115-47
ENSG00000212528	ENSMUSG00000093830	Gm23145	SNORD115-47
ENSG00000212528	ENSMUSG00000094922	Gm24759	SNORD115-47
ENSG00000212528	ENSMUSG00000094508	Gm26230	SNORD115-47
ENSG00000212528	ENSMUSG00000094476	Gm25934	SNORD115-47
ENSG00000212528	ENSMUSG00000095342	Gm26096	SNORD115-47
ENSG00000212528	ENSMUSG00000096683	Gm25988	SNORD115-47
ENSG00000212528	ENSMUSG00000096281	Gm22255	SNORD115-47
ENSG00000212528	ENSMUSG00000095476	Gm25077	SNORD115-47
ENSG00000212528	ENSMUSG00000093943	Gm22834	SNORD115-47
ENSG00000212528	ENSMUSG00000094438	Gm23618	SNORD115-47
ENSG00000212528	ENSMUSG00000094636	Gm24219	SNORD115-47
ENSG00000212528	ENSMUSG00000093958	Gm24495	SNORD115-47
ENSG00000212528	ENSMUSG00000096090	Gm26334	SNORD115-47
ENSG00000212528	ENSMUSG00000096285	Gm22253	SNORD115-47
ENSG00000212528	ENSMUSG00000094148	Gm24952	SNORD115-47
ENSG00000212528	ENSMUSG00000096811	Gm25088	SNORD115-47
ENSG00000212528	ENSMUSG00000095739	Gm25314	SNORD115-47
ENSG00000212528	ENSMUSG00000094610	Gm23076	SNORD115-47
ENSG00000212528	ENSMUSG00000095314	Gm25462	SNORD115-47
ENSG00000212528	ENSMUSG00000095945	Gm25194	SNORD115-47
ENSG00000212528	ENSMUSG00000095091	Gm23660	SNORD115-47
ENSG00000212528	ENSMUSG00000094048	Gm26284	SNORD115-47
ENSG00000212528	ENSMUSG00000094998	Gm22050	SNORD115-47
ENSG00000212528	ENSMUSG00000095021	Gm24021	SNORD115-47
ENSG00000212528	ENSMUSG00000096161	Gm24639	SNORD115-47
ENSG00000212528	ENSMUSG00000077615	Gm25499	SNORD115-47
ENSG00000212528	ENSMUSG00000096328	Gm26337	SNORD115-47
ENSG00000212528	ENSMUSG00000094465	Gm24306	SNORD115-47
ENSG00000212528	ENSMUSG00000094550	Gm22393	SNORD115-47
ENSG00000212528	ENSMUSG00000094032	Gm24654	SNORD115-47
ENSG00000212528	ENSMUSG00000095031	Gm22348	SNORD115-47
ENSG00000212528	ENSMUSG00000096041	Gm22511	SNORD115-47
ENSG00000212528	ENSMUSG00000096595	Gm25742	SNORD115-47
ENSG00000212528	ENSMUSG00000094609	Gm25870	SNORD115-47
ENSG00000212528	ENSMUSG00000094034	Gm24653	SNORD115-47
ENSG00000212528	ENSMUSG00000096306	Gm25209	SNORD115-47
ENSG00000212528	ENSMUSG00000094723	Gm23356	SNORD115-47
ENSG00000212528	ENSMUSG00000094667	Gm24872	SNORD115-47
ENSG00000212528	ENSMUSG00000075968	Gm25089	SNORD115-47
ENSG00000212528	ENSMUSG00000095425	Gm24417	SNORD115-47
ENSG00000212528	ENSMUSG00000094565	Gm25229	SNORD115-47
ENSG00000212528	ENSMUSG00000094912	Gm26392	SNORD115-47
ENSG00000212528	ENSMUSG00000094919	Gm26389	SNORD115-47
ENSG00000212528	ENSMUSG00000095372	Gm22111	SNORD115-47
ENSG00000212528	ENSMUSG00000094513	Gm24566	SNORD115-47
ENSG00000212528	ENSMUSG00000094037	Gm24652	SNORD115-47
ENSG00000212528	ENSMUSG00000094917	Gm26390	SNORD115-47
ENSG00000212528	ENSMUSG00000094038	Gm24657	SNORD115-47
ENSG00000212528	ENSMUSG00000095009	Gm25175	SNORD115-47
ENSG00000212528	ENSMUSG00000096390	Gm23687	SNORD115-47
ENSG00000212528	ENSMUSG00000096648	Gm24027	SNORD115-47
ENSG00000212528	ENSMUSG00000096430	Gm22130	SNORD115-47
ENSG00000212528	ENSMUSG00000096324	Gm26336	SNORD115-47
ENSG00000212528	ENSMUSG00000094524	Gm22909	SNORD115-47
ENSG00000212528	ENSMUSG00000094903	Gm23575	SNORD115-47
ENSG00000212528	ENSMUSG00000096067	Gm23682	SNORD115-47
ENSG00000212528	ENSMUSG00000094283	Gm26434	SNORD115-47
ENSG00000212528	ENSMUSG00000095628	Gm24585	SNORD115-47
ENSG00000212528	ENSMUSG00000095714	Gm26467	SNORD115-47
ENSG00000212528	ENSMUSG00000094548	Gm25221	SNORD115-47
ENSG00000212528	ENSMUSG00000093981	Gm24862	SNORD115-47
ENSG00000212528	ENSMUSG00000096821	Gm24570	SNORD115-47
ENSG00000212528	ENSMUSG00000095428	Gm24418	SNORD115-47
ENSG00000212528	ENSMUSG00000094213	Gm23449	SNORD115-47
ENSG00000212528	ENSMUSG00000095660	Gm22274	SNORD115-47
ENSG00000212528	ENSMUSG00000096605	Gm26200	SNORD115-47
ENSG00000212528	ENSMUSG00000094753	Gm25017	SNORD115-47
ENSG00000212528	ENSMUSG00000095418	Gm23922	SNORD115-47
ENSG00000212528	ENSMUSG00000096291	Gm23933	SNORD115-47
ENSG00000212528	ENSMUSG00000096185	Gm23305	SNORD115-47
ENSG00000212528	ENSMUSG00000094847	Gm22640	SNORD115-47
ENSG00000212528	ENSMUSG00000096812	Gm25087	SNORD115-47
ENSG00000212528	ENSMUSG00000096387	Gm26488	SNORD115-47
ENSG00000212528	ENSMUSG00000093824	Gm24799	SNORD115-47
ENSG00000212528	ENSMUSG00000077645	Gm24983	SNORD115-47
ENSG00000212528	ENSMUSG00000095402	Gm25585	SNORD115-47
ENSG00000212528	ENSMUSG00000095182	Gm26374	SNORD115-47
ENSG00000212528	ENSMUSG00000095713	Gm26466	SNORD115-47
ENSG00000212528	ENSMUSG00000095924	Gm24040	SNORD115-47
ENSG00000212528	ENSMUSG00000096048	Gm22510	SNORD115-47
ENSG00000212528	ENSMUSG00000095828	Gm25449	SNORD115-47
ENSG00000212528	ENSMUSG00000093860	Gm22632	SNORD115-47
ENSG00000212528	ENSMUSG00000094538	Gm25741	SNORD115-47
ENSG00000212528	ENSMUSG00000095491	Gm24088	SNORD115-47
ENSG00000212528	ENSMUSG00000094364	Gm26059	SNORD115-47
ENSG00000212528	ENSMUSG00000096392	Gm23688	SNORD115-47
ENSG00000212528	ENSMUSG00000094625	Gm22524	SNORD115-47
ENSG00000212528	ENSMUSG00000095310	Gm25463	SNORD115-47
ENSG00000212528	ENSMUSG00000096454	Gm23310	SNORD115-47
ENSG00000212528	ENSMUSG00000094631	Gm24220	SNORD115-47
ENSG00000212528	ENSMUSG00000094587	Gm26366	SNORD115-47
ENSG00000212528	ENSMUSG00000096447	Gm24206	SNORD115-47
ENSG00000212528	ENSMUSG00000096136	Gm25146	SNORD115-47
ENSG00000212528	ENSMUSG00000096496	Gm25646	SNORD115-47
ENSG00000212528	ENSMUSG00000094093	Gm25647	SNORD115-47
ENSG00000212528	ENSMUSG00000075726	Gm23254	SNORD115-47
ENSG00000212528	ENSMUSG00000094888	Gm25120	SNORD115-47
ENSG00000212528	ENSMUSG00000095587	Gm22629	SNORD115-47
ENSG00000212528	ENSMUSG00000095581	Gm22630	SNORD115-47
ENSG00000278007			AC016586.2
ENSG00000201560			RNU6-973P
ENSG00000265326			BX927167.2
ENSG00000202337	ENSMUSG00000064489	Gm23296	RNU6-8
ENSG00000202337	ENSMUSG00000064663	Gm24859	RNU6-8
ENSG00000276220			NDUFA3
ENSG00000277524			AC009014.3
ENSG00000252667			RNA5SP523
ENSG00000251727			RNU6-488P
ENSG00000277567			GU182340.1
ENSG00000238924			RNU7-82P
ENSG00000199755			AL139785.1
ENSG00000206920			RNY1P6
ENSG00000252947	ENSMUSG00000088990	Gm22767	SCARNA1
ENSG00000201444			RNU6-1082P
ENSG00000201229			SNORA63D
ENSG00000221116	ENSMUSG00000080610	Snord110	SNORD110
ENSG00000252595	ENSMUSG00000088395	Gm26313	RN7SKP82
ENSG00000242560			RN7SL797P
ENSG00000252411			RNU6-1087P
ENSG00000237611			AC091951.2
ENSG00000221475	ENSMUSG00000080582	Gm24907	SNORA11D
ENSG00000252028	ENSMUSG00000088165	Gm23533	RN7SKP52
ENSG00000243136			RN7SL22P
ENSG00000242348			RN7SL561P
ENSG00000276525			AL109754.1
ENSG00000212325			AL359759.1
ENSG00000199934	ENSMUSG00000064573	Gm25802	AC092807.1
ENSG00000199934	ENSMUSG00000065228	Gm25789	AC092807.1
ENSG00000199286			RNU6-1094P
ENSG00000238902			AC026671.1
ENSG00000201279			AC060812.2
ENSG00000239023			RNU1-98P
ENSG00000276757	ENSMUSG00000092805	Gm26461	RN7SL192P
ENSG00000200267			RNU6-66P
ENSG00000238669			RNU6-333P
ENSG00000212425			RNA5SP105
ENSG00000252627			RNU6-122P
ENSG00000222889			RN7SKP29
ENSG00000274868			FP236383.1
ENSG00000212296	ENSMUSG00000077737	Snord72	SNORD72
ENSG00000238609			RNU7-94P
ENSG00000201113			RNU6-647P
ENSG00000265918			RN7SL543P
ENSG00000207161			AC013406.1
ENSG00000212242			RNA5SP219
ENSG00000239069			AC211424.1
ENSG00000206963	ENSMUSG00000096841	Gm25596	RNU6-675P
ENSG00000212535			RNU6-808P
ENSG00000235284	ENSMUSG00000094382	Gm22192	SNORD62A
ENSG00000252220			RNU6-977P
ENSG00000264862			RN7SL45P
ENSG00000201588			RNA5S2
ENSG00000264530			RN7SL25P
ENSG00000200547			AL390066.1
ENSG00000201604	ENSMUSG00000096182	Gm23308	RNU6-740P
ENSG00000276873			AF129408.2
ENSG00000252684			RNU6ATAC36P
ENSG00000207197	ENSMUSG00000077772	Gm22373	SNORD116-12
ENSG00000207286			AL024509.1
ENSG00000201041			RNA5SP242
ENSG00000278135			AC104662.2
