"SPT6i vs CTLi Genes (Fold-change > 10 or < -10, p-value < 0.1)"						
Source: GSE153129-Supplementary-4.xlsx						
						
UP					DOWN	
ZNF341-AS1	11.9321	1.34E-05		CFAP58-DT	-15.5448	0.00108569
CREG2	11.8268	0.00182764		CD248	-15.4842	0.00152748
SEC31B	11.8233	0.00181376		FMO2	-15.4595	0.000716649
ABCA9	11.8088	0.000544432		HYAL1	-15.4279	6.67E-07
C2orf92	11.7888	0.00359462		TNK2-AS1	-15.4147	0.00317534
PPIL6	11.7296	0.000232983		KCNB1	-15.2613	0.000527393
APH1B	11.6875	0.000144155		ABLIM1	-15.2423	2.24E-05
GLB1L	1.17E+01	2.62E-06		PGLYRP3	-15.2218	5.75E-05
OSR2	1.17E+01	0.000262012		GDPD2	-15.1985	0.00146851
AKAP3	11.6547	8.64E-06		FAM43A	-15.1838	6.37E-05
SMOC1	1.16E+01	0.000992462		LARGE2	-15.0714	0.000800993
NPBWR1	11.6174	0.00342158		PCK2	-15.0584	0.000602673
C1GALT1C1	11.6115	1.97E-05		ADAP2	-15.026	1.11E-05
LOC100287329	11.595	0.00171282		AMZ1	-14.9875	0.000227213
ARID3C	11.5624	2.74E-05		SLC47A2	-14.9721	0.000541635
RASGRP3	1.15E+01	0.00200833		SBSN	-14.9372	0.00153229
ANKDD1B	1.15E+01	0.00019691		ATP10B	-14.7972	0.000380487
RSPH10B2	1.15E+01	0.00063187		SERPINB9	-14.7556	0.000221567
RSPH10B	11.4761	0.00063187		TMEM86A	-14.7307	0.000554332
LINC00899	11.456	0.000299513		SORD	-14.649	1.16E-05
IRF1-AS1	11.454	0.000610592		APCDD1	-14.533	0.00109598
PSPN	1.14E+01	4.06E-05		PCSK6	-14.4852	4.82E-05
TAF1A-AS1	11.4299	0.000156092		RAET1E	-14.4522	3.99E-05
LOC646626	11.4269	2.85E-05		ZDHHC23	-14.4447	0.00177074
HTR7P1	11.4111	4.16E-05		PLA2G4F	-14.4377	7.91E-06
FAM107B	11.4022	6.50E-05		CA12	-14.3969	3.30E-05
LMNTD2	1.14E+01	0.000201369		ACBD3-AS1	-14.3753	0.0042677
ANKRD2	11.3771	0.00261422		RTN4RL1	-14.2856	0.00156922
GLIS3	11.3597	0.0020818		NSG1	-14.2383	9.59E-05
MGAM	1.13E+01	0.000779973		OVCH2	-14.1878	3.71E-06
LOC101928069	11.3202	0.000112237		EEPD1	-14.1547	0.0019194
SNX29P1	1.13E+01	0.00208498		PGAP4	-14.0395	6.16E-05
AOC3	11.3028	0.000258226		CERS3	-14.0084	4.27E-05
PSMB9	1.13E+01	0.000531725		CLIC3	-13.9942	0.000585779
C1orf105	11.2751	0.000235284		LINC01214	-13.9782	0.00119167
LAMP3	11.2042	0.000296004		ACKR3	-13.8801	0.000555036
PCBP1-AS1	1.12E+01	0.000209778		SUSD4	-13.7813	3.88E-05
WNT9A	1.12E+01	0.00228027		PLA2R1	-13.7804	1.30E-05
MYPN	11.15	0.000232206		SLC7A11	-13.7276	0.000964756
TRHDE-AS1	11.1249	0.00258602		GBP6	-13.5733	0.000149091
ABHD11-AS1	11.1173	0.00247844		NKPD1	-13.5621	0.000214467
ACBD7	11.0643	0.000779607		NGFR	-13.5603	0.00274646
LINC00205	11.0416	6.69E-05		QPRT	-13.5353	9.36E-05
HLA-A	11.0331	0.00208694		DNASE1L3	-13.5268	5.40E-06
RHOU	1.10E+01	0.00252708		ZHX3	-13.4971	0.000166205
ARHGAP5-AS1	10.9962	0.00021719		FAAHP1	-13.454	0.00147769
NPC1L1	10.9772	0.000921657		OBSCN	-13.447	4.02E-05
AOC2	10.9743	0.000229806		CBSL	-13.4282	0.00244205
GULP1	1.10E+01	8.38E-05		VWA2	-13.3771	0.00332353
AQP7P3	10.967	0.00195108		ZC3HAV1L	-13.3425	0.0020539
LPP-AS2	1.10E+01	0.000233074		ATP12A	-13.3187	0.00140381
DNAH1	10.9424	0.0024049		CHST2	-13.2997	0.00236764
GALNT4	10.9339	0.000829494		FNDC10	-13.2936	6.85E-05
MIR762HG	10.8881	0.000545083		DIAPH3	-13.2264	0.000226709
RGPD4	1.09E+01	0.00149316		RNF222	-13.2251	0.00033422
ERFL	10.8288	0.000563353		ST6GALNAC1	-13.1832	8.80E-05
BSCL2	10.8151	0.000926283		COL27A1	-13.1649	0.000932354
APOL6	10.7806	1.03E-05		ADM2	-13.1522	0.00262699
TAPBPL	10.7578	7.75E-05		CDSN	-13.1467	0.000245002
WDR78	10.72	2.19E-05		TTC39B	-13.0998	5.17E-05
RORA-AS1	10.6569	0.00254227		FAT2	-12.9287	1.52E-06
REPS2	10.6393	0.000323605		ALDH2	-12.9155	0.000993923
BFSP1	1.06E+01	0.000637118		ASS1	-12.9148	0.00150101
LINC01465	1.06E+01	0.0021399		BMPER	-12.8677	0.001859
PLK5	10.5945	0.000139382		TTTY4C	-12.8655	0.000135348
TBC1D8	10.5758	7.48E-06		TTTY4B	-12.8655	0.000135348
CDKN2A	10.5708	0.000245279		TTTY4	-12.8655	0.000135348
VEGFC	10.5612	5.16E-05		DNMT3B	-12.8419	0.000296847
TOLLIP-AS1	10.5591	0.000758506		CDCA7	-12.8375	0.000151925
PODXL	10.5367	0.00310427		WNT4	-12.8348	0.000485627
TRAK2	1.05E+01	0.00144363		ZBTB7C	-12.7909	3.32E-05
H4C15	10.4501	0.000225084		FHL1	-12.7518	0.000601727
H4C14	10.4501	0.000225084		GSTA4	-12.691	1.76E-06
STAT4	1.04E+01	0.00010273		GGCT	-12.5198	0.000140123
TMPRSS4	1.04E+01	8.57E-05		IGFL1	-12.4606	0.00106062
ANGPT2	1.04E+01	0.00386504		MFSD2B	-12.3972	0.000499709
LOC102723769	1.04E+01	0.0019901		VWF	-12.3672	8.48E-05
ADAM15	10.3671	2.40E-05		NPM2	-12.301	0.00310155
ZNF528-AS1	10.3101	0.00040252		SLC10A6	-12.243	0.000310317
CCDC87	1.03E+01	0.000100964		FOXE1	-12.2391	1.81E-05
CYP2C8	10.2924	0.00344367		FGFBP1	-12.1867	0.000870983
LINC02298	10.2554	0.00102998		TMTC1	-12.1462	0.000335523
PXDNL	10.2336	0.000443786		ARL10	-12.1435	1.15E-06
LINC01415	10.2217	0.00370695		EHD2	-12.1	0.00070475
LINC01607	10.1897	0.00147536		PLA2G2F	-12.0905	0.000433737
TCTN3	10.178	7.29E-06		HMCN1	-12.0603	0.00153995
FRK	10.1703	7.40E-05		AMIGO1	-12.0528	1.05E-05
SDCBP2-AS1	10.1637	5.22E-05		NRIP3	-12.0517	0.00107778
TMEM51-AS1	1.02E+01	5.00E-05		EDARADD	-11.9542	0.00247937
ZDHHC11	1.02E+01	4.34E-05		MIR210HG	-11.9286	0.000306567
GSEC	10.1301	2.57E-05		CBX2	-11.9262	9.75E-05
CLCF1	1.01E+01	0.00048364		HOXD11	-11.9154	0.0041859
MYOM1	1.01E+01	0.00238255		SORD2P	-11.9121	1.40E-06
B4GALT1-AS1	10.102	7.88E-05		VLDLR	-11.8932	0.000136019
LOC101929066	10.0627	0.00334659		NAV2	-11.8882	0.000219652
STX1A	1.00E+01	0.000103684		CKMT1B	-11.8666	0.000601776
TFAP2A-AS1	1.00E+01	0.000191812		PAG1	-11.8423	0.00189608
				PYGO1	-11.828	0.000310748
				LOC154761	-11.8055	0.00296761
				TMEM200A	-11.8019	0.00222975
				LOC283299	-11.7973	0.000150814
				TPRG1	-11.7804	1.47E-05
				PLA2G4A	-11.7723	0.000168397
				GPX8	-11.7434	2.10E-06
				ST6GALNAC4	-11.6894	8.58E-06
				SCARA3	-11.6649	5.55E-05
				IFFO2	-11.6251	0.000238029
				LDLR	-11.5711	0.00153185
				CAMKK1	-11.5593	0.000699391
				SLC39A2	-11.5533	0.00014892
				BSPRY	-11.5237	0.000122752
				CKMT1A	-11.5083	0.000103017
				RGS14	-11.4671	0.00018256
				PITPNM3	-11.3599	0.00042673
				KREMEN1	-11.3509	3.20E-05
				ITPRIPL1	-11.3229	0.0024245
				SPTLC3	-11.1731	3.61E-05
				FOLR3	-11.1504	0.000583856
				INKA1	-11.1333	0.00171651
				DNASE1L2	-11.0445	0.000201524
				CYP2S1	-11.0241	0.000240953
				RGS2	-11.0048	0.00229066
				GJC3	-11.0043	0.000965518
				TTC39A	-11.0004	9.24E-05
				CPT1C	-10.9999	0.00420874
				CBLC	-10.9559	0.000130657
				IVL	-10.9519	3.09E-05
				ELOVL7	-10.9104	0.000197744
				DHCR24	-10.9058	1.05E-05
				SOX7	-10.8483	2.71E-05
				PRRX2	-10.7992	0.00252192
				RASGEF1A	-10.7681	2.27E-05
				HPGD	-10.6973	0.00200609
				CEBPD	-10.6916	0.000718374
				ZCCHC24	-10.6879	0.000178636
				MGST1	-10.6362	7.81E-05
				FHDC1	-10.5737	0.000227774
				CCNA1	-10.528	0.000161876
				LYPD3	-10.4425	4.51E-06
				PDZD2	-10.3565	0.000891433
				SCNN1G	-10.3271	0.000121241
				HAS3	-10.2834	0.000333266
				NKX1-2	-10.2537	0.00439689
				ZFP42	-10.2321	0.000783369
				EPGN	-10.1995	0.000130785
				CARD18	-10.1969	0.00111169
				STING1	-10.1878	0.000902235
				DAPL1	-10.1633	0.000301933
				PSG2	-10.1367	0.00022705
				DMKN	-10.1078	0.00236946
				WNT3	-10.1057	5.94E-05
				S100A2	-10.0375	0.000668176
				TP63	-10.0356	5.28E-06
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
