AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
SLC2A13	227176_at	8.57	9.03	0.45	0.22	4.68	11.25	1.04	58	130	66	32
HINT3	228697_at	6.91	6.54	-0.37	-0.11	4.24	9.79	1.28	151	55	49	124
MRVI1	230214_at	6.20	6.17	-0.03	-0.03	4.50	9.93	0.71	120	42	127	59
ZBTB33	226255_at	7.36	8.80	1.44	0.41	4.54	10.19	0.79	9	215	6	7
TMPO	224944_at	8.04	9.44	1.40	0.31	5.35	10.52	0.84	12	209	8	11
PPT1	200975_at	8.71	9.34	0.64	0.21	5.14	11.11	1.01	45	158	40	30
C5orf3	222682_s_at	5.90	6.33	0.43	0.25	3.32	7.50	0.71	44	120	87	21
CDC6	203967_at	5.66	5.36	-0.30	-0.14	3.23	8.11	1.02	152	55	63	110
NOLA1	219110_at	7.55	8.35	0.80	0.42	5.21	9.55	0.70	18	180	37	11
SYNC1	237333_at	5.66	5.95	0.30	0.21	3.64	7.76	0.83	66	96	101	31
PDIK1L	227255_at	6.78	7.39	0.61	0.38	4.85	9.54	0.83	33	140	70	18
PRELP	228224_at	5.32	4.82	-0.50	-0.28	3.86	7.38	0.67	191	24	67	137
AP1M2	218261_at	7.87	8.54	0.67	0.33	6.04	9.68	0.59	21	169	46	13
DEPDC6	218858_at	7.89	8.05	0.16	0.14	4.55	9.73	0.96	90	82	105	41
C2orf57	238187_at	5.76	5.31	-0.46	-0.41	4.22	8.08	0.44	208	7	103	118
OAT	201599_at	9.45	10.42	0.97	0.29	6.01	11.63	0.94	24	189	23	16
COL25A1	224388_s_at	5.45	4.58	-0.86	-0.33	3.88	6.89	0.50	217	9	20	199
TCTN2	206438_x_at	8.22	7.78	-0.44	-0.40	6.82	9.81	0.53	200	11	110	107
ETNK1	226432_at	6.91	7.71	0.80	0.29	3.57	10.95	1.31	44	159	34	35
RAB21	203885_at	7.48	8.74	1.26	0.32	4.60	10.13	0.80	13	210	8	10
PTCD3	217895_at	7.72	8.40	0.68	0.39	5.69	9.58	0.62	21	163	50	15
EZR	208621_s_at	7.89	8.57	0.68	0.20	4.97	10.80	1.38	57	151	32	45
POLR3GL	223269_at	7.14	7.56	0.42	0.27	3.88	8.93	0.68	40	117	97	14
ANKRD46	212731_at	6.33	7.55	1.22	0.45	3.25	10.00	1.08	17	197	18	13
CHEK1	205394_at	6.38	6.01	-0.37	-0.19	3.35	8.98	1.11	157	48	66	114
UBXD4	235327_x_at	9.07	8.88	-0.19	-0.11	7.30	11.44	0.71	150	36	103	89
AKT3	212607_at	6.09	6.18	0.09	0.05	3.73	8.93	0.79	98	73	104	51
RSAD2	242625_at	6.28	5.87	-0.41	-0.17	3.59	9.55	1.48	150	62	48	118
CCDC91	218545_at	6.86	7.21	0.35	0.17	3.90	9.12	0.90	61	108	97	23
LOC284600	1559083_x_at	5.98	5.30	-0.68	-0.33	4.42	8.14	0.49	213	11	34	183
RCOR3	222605_at	7.19	7.86	0.67	0.34	4.68	9.08	0.72	25	160	53	15
RPS6KA2	212912_at	6.02	6.17	0.15	0.18	3.79	8.73	0.79	86	73	117	38
CBWD1	229804_x_at	5.45	5.93	0.49	0.23	2.93	7.66	0.87	47	140	65	23
KCNH1	207635_s_at	4.85	4.31	-0.54	-0.31	3.55	7.22	0.50	206	10	66	152
HLA-DMB	203932_at	8.44	8.38	-0.06	-0.04	5.94	10.51	0.80	125	59	100	69
HIBADH	224812_at	7.51	8.70	1.18	0.39	4.68	10.45	1.00	18	198	18	12
RPIA	212973_at	7.96	9.16	1.20	0.36	5.25	11.01	0.83	14	206	11	11
RPL4	200089_s_at	11.22	11.77	0.56	0.27	8.50	12.83	0.62	29	157	55	16
SENP6	202318_s_at	6.76	8.37	1.61	0.35	4.07	9.57	0.80	9	218	1	9
FEM1B	212367_at	7.20	7.80	0.60	0.31	3.80	9.28	0.78	33	158	54	16
MBIP	218411_s_at	6.41	6.55	0.14	0.12	3.91	8.37	0.81	88	68	123	37
DAD1	200046_at	8.93	10.21	1.28	0.27	5.44	11.28	0.82	13	207	13	8
BAP1	1555735_a_at	5.80	6.18	0.38	0.11	4.19	7.30	0.83	62	137	42	49
RCE1	205332_at	6.69	6.36	-0.32	-0.34	5.56	8.75	0.50	188	14	118	96
ARHGEF9	203263_s_at	6.41	6.70	0.29	0.18	4.52	7.74	0.66	60	104	96	28
PITPNA	201190_s_at	7.53	8.49	0.96	0.36	5.46	9.43	0.48	7	205	18	5
C14orf108	218139_s_at	7.56	9.68	2.12	0.32	3.61	11.25	1.09	9	216	3	9
LOC286208	1560089_at	8.32	8.52	0.19	0.22	6.46	10.12	0.64	73	78	118	32
CBR1	209213_at	7.80	7.86	0.06	0.06	5.14	9.75	0.74	102	70	103	55
HSPE1	205133_s_at	8.66	9.70	1.04	0.32	4.88	11.10	0.95	22	187	26	15
DDX5	200033_at	10.11	11.39	1.28	0.36	7.02	12.63	0.67	8	214	8	6
TMEM116	227172_at	5.95	5.98	0.04	0.02	3.99	7.88	0.72	107	67	107	54
TST	209605_at	11.16	11.46	0.30	0.20	8.33	12.98	0.70	59	104	98	26
JMJD1A	212689_s_at	7.88	8.28	0.40	0.20	4.24	9.64	0.80	52	126	77	25
NEDD9	202149_at	8.52	9.72	1.20	0.37	5.13	11.65	0.92	15	202	14	12
DNAJB4	203810_at	6.29	6.50	0.21	0.13	4.34	9.04	0.85	81	88	94	46
ZNF567	235648_at	6.14	5.83	-0.31	-0.24	3.53	8.50	0.91	161	35	91	102
ANG	205141_at	8.32	8.93	0.62	0.31	5.48	10.36	0.84	36	152	58	18
SPANXC	220217_x_at	6.36	5.82	-0.54	-0.31	5.13	8.47	0.47	208	11	66	151
CCDC88A	225045_at	4.42	4.33	-0.08	-0.05	3.08	6.40	0.64	132	40	118	70
E2F8	219990_at	6.27	6.35	0.08	0.05	3.25	8.49	1.08	104	82	87	59
C6orf166	223145_s_at	7.61	8.15	0.54	0.32	5.93	9.27	0.61	29	142	70	16
PARD6G	224538_s_at	5.84	5.35	-0.49	-0.32	4.53	8.10	0.44	208	6	85	137
CECR1	219505_at	7.73	7.90	0.17	0.11	5.55	10.11	1.01	91	93	73	62
CRABP2	202575_at	6.88	6.49	-0.39	-0.30	5.44	8.69	0.47	197	14	106	108
HSD17B4	201413_at	8.51	10.00	1.49	0.36	5.92	11.75	0.78	9	215	4	9
FLJ22222	53071_s_at	6.73	7.91	1.18	0.31	3.56	9.66	1.01	20	198	17	13
STX17	226662_at	6.18	6.72	0.54	0.31	3.92	8.23	0.69	32	140	71	17
NTN4	223315_at	6.36	6.45	0.09	0.04	3.65	8.55	1.03	101	83	89	56
DKFZp667G2110	214030_at	7.28	7.51	0.23	0.26	5.01	8.84	0.60	61	66	144	18
NAP1L1	212967_x_at	8.10	10.04	1.94	0.43	4.46	11.72	0.96	7	219	3	6
XRN1	233632_s_at	6.81	7.53	0.72	0.41	4.79	8.97	0.66	21	176	39	13
HSPA1A	202581_at	8.17	9.09	0.92	0.34	4.18	11.66	1.01	26	179	30	19
RABL2A	219151_s_at	5.91	6.27	0.36	0.29	3.74	7.84	0.66	48	104	104	20
KIAA0802	213358_at	6.22	5.72	-0.51	-0.20	4.24	8.68	0.87	179	33	52	143
NBR2	1553992_s_at	7.41	6.75	-0.66	-0.35	5.40	9.42	0.70	201	17	45	166
GTF2H1	202451_at	8.04	8.48	0.44	0.26	4.86	10.16	0.82	46	124	83	21
MRPL37	222993_at	8.06	8.76	0.70	0.30	5.15	10.21	0.88	34	167	38	23
LOC284702	225786_at	6.05	6.17	0.12	0.05	3.00	8.85	1.22	100	93	68	67
KCNIP3	234198_at	5.47	4.92	-0.55	-0.27	4.17	7.48	0.50	205	12	56	160
TBCE	203714_s_at	7.82	8.32	0.50	0.34	4.93	9.86	0.76	37	126	89	13
C21orf58	1555197_a_at	5.35	4.85	-0.49	-0.32	4.12	7.47	0.44	208	7	81	140
SPRR1A	213796_at	8.40	3.90	-4.50	-0.30	3.01	12.93	0.79	227	1	0	227
GDA	224209_s_at	8.55	8.66	0.11	0.06	5.05	10.68	1.01	99	85	84	59
RPL37A	214041_x_at	7.37	7.85	0.48	0.17	4.65	10.67	1.12	61	136	46	46
LOC728198	221618_s_at	4.81	4.69	-0.12	-0.03	2.98	7.66	1.13	128	76	44	108
RNF7	218286_s_at	7.83	8.57	0.74	0.34	5.38	9.87	0.72	22	167	49	12
ZCCHC14	212655_at	7.25	7.80	0.55	0.34	4.27	9.17	0.74	33	139	75	14
ZNF805	235398_at	5.85	5.31	-0.54	-0.26	4.55	7.44	0.55	201	17	58	153
FH	203032_s_at	5.81	6.35	0.54	0.07	3.01	8.77	1.70	77	142	17	69
TEK	206702_at	6.18	6.00	-0.18	-0.14	4.53	7.87	0.74	146	47	102	79
DNPEP	201937_s_at	7.56	8.19	0.63	0.36	5.64	9.42	0.57	21	159	55	14
EFCAB2	223608_at	4.79	4.67	-0.11	-0.06	3.02	6.96	0.79	134	49	103	76
BAT3	213318_s_at	9.30	9.69	0.39	0.23	7.28	10.75	0.62	45	122	81	25
NFE2L3	204702_s_at	6.85	6.38	-0.47	-0.13	4.29	9.27	1.18	162	53	36	139
TSPAN7	202242_at	8.51	8.94	0.43	0.04	5.41	10.70	1.36	76	144	22	62
DTD1	234107_s_at	8.55	8.44	-0.11	-0.11	5.68	10.38	0.86	132	55	103	70
HECA	218603_at	8.51	9.07	0.57	0.30	5.82	10.14	0.60	26	151	65	12
RCBTB1	218352_at	5.67	5.69	0.01	0.00	2.95	8.09	0.95	112	66	106	56
PDLIM4	211564_s_at	5.77	5.28	-0.49	-0.27	4.20	7.83	0.68	191	20	69	139
RPP14	204245_s_at	7.25	7.47	0.23	0.12	4.72	8.66	0.71	72	103	97	28
TNFRSF21	214581_x_at	6.84	7.48	0.64	0.15	3.44	9.47	1.11	49	165	34	29
OGT	207564_x_at	6.56	6.88	0.31	0.22	3.85	8.51	0.89	66	101	99	28
KPNA1	202059_s_at	6.54	7.59	1.05	0.38	4.51	8.60	0.57	9	211	10	7
PLA2G12A	221027_s_at	6.88	7.44	0.56	0.26	4.56	8.90	0.82	40	148	57	23
OTUD1	226140_s_at	8.91	8.79	-0.12	-0.11	6.45	10.93	0.68	139	32	141	55
HARS2	209252_at	8.10	8.44	0.34	0.26	6.56	9.45	0.53	41	99	114	15
SMTN	207390_s_at	7.80	7.19	-0.61	-0.30	5.33	11.72	1.07	184	20	64	144
NRAS	202647_s_at	6.90	7.70	0.80	0.22	3.70	9.11	1.09	38	168	37	23
PKLR	207858_s_at	5.51	5.05	-0.46	-0.31	4.15	7.61	0.51	200	12	90	126
ZBTB11	204847_at	6.54	7.82	1.28	0.26	3.63	9.34	0.92	16	204	12	12
RCP9	203898_at	5.81	6.48	0.67	0.35	3.91	7.53	0.59	20	168	47	13
PABPC4	201064_s_at	8.55	8.97	0.43	0.26	4.77	10.55	0.88	52	124	78	26
KIAA1598	221802_s_at	6.83	8.48	1.65	0.37	4.25	10.06	0.97	11	214	4	10
IL7	206693_at	6.20	6.44	0.25	0.11	3.49	8.91	1.14	85	105	64	59
PKD2	203688_at	5.82	5.96	0.14	0.11	3.95	8.43	0.74	88	75	113	40
AVP	207848_at	6.40	5.87	-0.53	-0.30	5.14	8.12	0.47	208	10	65	153
C1orf41	215691_x_at	7.92	9.36	1.43	0.37	4.85	11.04	0.83	10	213	5	10
CUL4A	201424_s_at	6.99	7.94	0.95	0.35	4.50	9.17	0.76	17	195	23	10
EIF3H	201592_at	10.48	11.23	0.75	0.42	8.11	12.70	0.62	15	175	44	9
LOC339562	217480_x_at	8.98	9.17	0.19	0.08	5.91	11.65	1.35	95	107	55	66
THSD4	222835_at	7.82	7.61	-0.20	-0.17	5.68	9.96	0.82	148	44	100	84
ZNF426	205964_at	5.20	5.17	-0.03	-0.02	3.36	6.89	0.64	121	48	125	55
PAX3	231666_at	4.10	3.57	-0.53	-0.41	3.05	5.76	0.30	220	3	82	143
ROBO2	226766_at	4.33	3.64	-0.69	-0.27	3.04	6.75	0.46	214	8	24	196
TNRC6A	224705_s_at	6.46	7.23	0.76	0.26	3.99	8.53	0.82	28	173	38	17
HEATR1	218594_at	6.58	7.64	1.06	0.40	3.99	9.45	0.87	17	197	17	14
C8orf47	1552390_a_at	4.37	4.03	-0.35	-0.20	2.91	6.88	0.73	171	27	82	119
DNAJC16	212908_at	7.38	8.06	0.68	0.32	4.79	9.58	0.73	27	171	41	16
PLEKHG2	225979_at	5.87	5.43	-0.44	-0.28	4.47	7.59	0.54	195	14	91	123
ZNF711	228988_at	4.89	4.59	-0.30	-0.25	2.96	7.63	0.74	167	28	99	101
COL5A1	212489_at	5.92	5.91	-0.02	0.00	4.29	9.37	0.78	117	54	108	66
LEFTY1	206268_at	9.06	9.82	0.76	0.18	4.53	12.18	1.56	55	153	39	36
SULT1B1	207601_at	8.48	9.07	0.59	0.22	6.16	10.63	0.98	46	144	55	29
S100A8	202917_s_at	6.94	6.30	-0.64	-0.16	3.99	13.98	1.75	161	50	37	141
YBX1	208627_s_at	10.55	11.05	0.51	0.08	6.54	12.41	1.08	60	154	32	42
MFSD4	229254_at	8.31	8.32	0.01	0.00	4.18	11.25	1.47	113	88	59	81
ENY2	226775_at	6.71	6.82	0.11	0.16	5.11	8.32	0.62	88	53	144	31
RGS13	210258_at	5.11	5.18	0.07	0.03	2.78	8.91	1.52	108	91	42	95
MALAT1	224568_x_at	8.44	8.77	0.32	0.08	4.78	12.94	1.89	91	120	41	67
IFRD1	202146_at	6.96	7.76	0.80	0.35	4.06	9.77	0.92	27	165	47	16
NAP1L5	228063_s_at	5.93	5.72	-0.22	-0.08	4.06	8.53	0.96	143	54	64	110
PGM2	225367_at	8.14	8.24	0.10	0.11	4.50	10.62	1.03	99	70	108	50
DPP6	228546_at	5.18	4.05	-1.13	-0.26	3.30	8.56	0.68	216	9	10	209
FLJ22662	218454_at	8.69	10.34	1.65	0.42	5.86	12.69	0.95	9	214	6	8
FCRL3	231093_at	5.45	4.88	-0.57	-0.18	3.50	8.35	1.03	176	36	44	148
OCC-1	225105_at	7.84	8.96	1.12	0.29	4.21	10.35	0.88	18	205	14	9
EXPH5	214734_at	8.46	8.88	0.42	0.10	4.45	10.57	1.11	66	135	52	41
STXBP1	202260_s_at	6.76	6.53	-0.23	-0.17	4.18	9.55	1.01	146	45	85	98
USP22	200083_at	8.03	8.96	0.94	0.30	5.78	9.99	0.59	13	206	12	10
ATPBD4	238662_at	6.54	6.37	-0.17	-0.14	4.67	8.72	0.82	143	41	103	84
HOOK3	226395_at	5.78	5.54	-0.23	-0.20	3.78	7.52	0.72	158	31	118	79
CREBZF	202979_s_at	5.90	6.23	0.33	0.19	2.64	8.30	0.97	67	111	83	34
ATL3	224893_at	8.90	9.36	0.46	0.25	6.68	10.76	0.69	41	133	70	25
RAB4A	203581_at	7.81	8.96	1.14	0.32	5.13	10.17	0.80	14	200	18	10
HNRNPA3P2	224368_s_at	6.13	6.41	0.29	0.11	3.97	8.03	0.96	77	122	55	51
C6orf117	227226_at	6.94	6.98	0.04	0.04	4.62	9.20	0.98	108	77	84	67
EPB41	225051_at	8.87	9.14	0.27	0.25	6.69	10.17	0.53	50	84	129	15
FA2H	234963_s_at	6.62	6.80	0.18	0.15	4.82	8.81	0.76	81	75	110	43
CYP3A5	214235_at	7.83	7.56	-0.27	-0.14	3.81	10.80	1.18	146	50	77	101
PROCR	203650_at	7.09	6.96	-0.14	-0.12	5.13	9.02	0.75	139	44	109	75
CHSY1	203044_at	7.97	7.85	-0.12	-0.13	4.43	9.73	0.78	138	42	125	61
RPS7	213941_x_at	12.35	12.85	0.49	0.48	10.57	13.90	0.43	15	108	113	7
LOC100130633	213698_at	7.54	8.10	0.56	0.26	4.27	9.45	1.00	49	145	57	26
ARF1	208750_s_at	8.71	9.41	0.71	0.06	3.91	11.11	1.63	64	157	15	56
LOC100131067	235443_at	5.80	5.12	-0.68	-0.33	3.95	7.60	0.67	205	16	51	161
C17orf48	220606_s_at	5.95	6.11	0.16	0.15	3.94	8.22	0.81	86	81	96	51
TBC1D5	201813_s_at	7.66	7.86	0.19	0.13	5.49	9.18	0.71	79	90	90	48
GLB1L2	213713_s_at	8.09	8.16	0.07	0.05	6.51	9.98	0.70	99	66	121	41
MAP3K4	216199_s_at	7.62	8.08	0.47	0.35	5.05	9.31	0.58	29	125	93	10
GM2A	215891_s_at	5.24	5.22	-0.02	-0.01	3.74	7.05	0.83	117	63	85	80
STX3	216985_s_at	6.11	6.54	0.42	0.08	3.81	8.98	1.42	78	136	23	69
TP53AP1	209917_s_at	6.91	7.15	0.24	0.16	5.27	8.52	0.70	70	96	97	35
TP53INP1	225912_at	8.33	8.66	0.33	0.21	5.32	10.20	0.75	59	112	86	30
SUMO3	200740_s_at	8.62	10.04	1.42	0.39	5.61	11.46	0.81	10	215	4	9
IL13RA2	206172_at	5.36	4.68	-0.68	-0.20	3.41	8.33	0.93	189	25	40	163
CDC40	203376_at	8.14	8.45	0.31	0.24	6.26	9.73	0.62	52	97	111	20
C6orf173	226936_at	8.55	8.38	-0.17	-0.12	5.79	10.56	0.98	139	54	90	84
NFKBIA	201502_s_at	10.23	10.40	0.16	0.22	7.07	12.50	0.70	80	67	134	27
SLC7A7	204588_s_at	7.77	7.81	0.04	0.03	5.19	9.35	0.68	105	58	126	44
C1orf67	242283_at	4.74	4.53	-0.21	-0.12	3.59	6.42	0.61	157	32	109	87
PPP6C	225426_at	6.32	7.32	0.99	0.40	3.78	8.89	0.81	16	189	28	11
SCD5	220232_at	7.51	6.18	-1.33	-0.35	4.37	11.28	1.11	209	14	12	202
LOC440993	1557293_at	6.25	6.08	-0.17	-0.08	4.28	9.34	0.94	139	48	88	92
LOC100127955	1563709_at	5.92	5.60	-0.32	-0.31	4.84	7.64	0.39	199	8	152	68
BRSK1	1552504_a_at	6.78	6.63	-0.15	-0.13	5.34	8.62	0.70	143	37	123	68
C4orf15	210054_at	6.47	6.78	0.32	0.21	3.69	8.33	0.85	64	103	96	29
C10orf99	227736_at	10.69	11.58	0.89	0.28	7.03	12.83	0.85	24	183	28	17
FAM20B	214768_x_at	8.79	9.28	0.49	0.09	5.05	12.17	2.04	84	131	29	68
KCNV1	220294_at	4.29	3.77	-0.52	-0.21	3.01	6.49	0.67	192	17	57	154
LBR	201795_at	9.03	10.10	1.07	0.46	6.23	11.94	0.78	12	203	17	8
GUCA2A	207003_at	9.76	10.59	0.83	0.04	6.13	13.36	2.26	72	152	12	64
POLE2	205909_at	7.11	6.85	-0.26	-0.19	4.53	9.86	0.97	150	45	84	99
IKIP	227295_at	5.07	4.93	-0.14	-0.09	3.32	7.14	0.79	138	49	91	88
ARSE	205894_at	7.97	8.25	0.28	0.23	5.59	10.14	0.80	68	94	95	39
CASKIN1	1569737_a_at	5.88	5.24	-0.64	-0.31	4.23	7.88	0.51	211	10	45	173
C10orf58	228155_at	9.91	10.45	0.53	0.26	6.56	11.87	0.91	45	135	67	26
RTN3	219549_s_at	8.56	9.65	1.09	0.35	5.98	10.55	0.65	11	206	13	9
LOC203107	1556613_s_at	5.39	5.22	-0.16	-0.19	3.54	7.26	0.63	151	23	137	68
C9orf52	232000_at	5.82	5.95	0.12	0.10	3.79	8.30	0.87	94	78	98	52
SLU7	227990_at	7.79	8.07	0.28	0.17	4.13	9.72	0.84	68	101	99	28
NOLA2	209104_s_at	10.40	10.40	0.00	0.00	7.80	11.80	0.72	114	64	127	37
MEMO1	219065_s_at	7.64	8.38	0.74	0.39	4.46	9.40	0.69	22	188	27	13
CHN2	213385_at	7.77	7.76	-0.01	-0.01	4.72	10.43	0.86	115	45	132	51
JAM3	212813_at	7.32	7.45	0.13	0.14	5.58	10.54	0.79	90	66	114	48
CHRM3	214596_at	5.93	5.71	-0.22	-0.14	3.55	8.19	0.83	149	40	93	95
NSF	202395_at	9.31	9.62	0.31	0.23	6.64	10.97	0.64	51	89	124	15
EDA2R	221399_at	6.38	5.78	-0.60	-0.34	5.02	8.38	0.48	210	10	52	166
TMEM32	225125_at	8.19	9.34	1.16	0.32	5.51	10.66	0.70	12	210	9	9
NDUFV2	202941_at	9.24	9.68	0.44	0.07	6.38	10.75	0.90	59	155	28	45
BAX	208478_s_at	6.24	6.67	0.43	0.13	4.16	8.67	1.11	67	135	41	52
FAM92A1	235391_at	6.42	6.01	-0.41	-0.12	4.25	8.40	0.97	164	48	44	136
EIF4H	206621_s_at	9.83	10.49	0.66	0.29	7.62	11.38	0.51	17	178	41	9
C20orf75	1553169_at	5.88	5.29	-0.59	-0.31	4.51	7.38	0.51	206	15	53	160
LOC124512	225808_at	8.01	8.80	0.79	0.33	5.54	9.89	0.64	17	179	39	10
DOCK5	230263_s_at	7.12	8.06	0.94	0.32	3.77	9.55	0.86	21	188	26	14
NIN	225921_at	7.21	7.41	0.21	0.16	4.69	9.00	0.72	75	87	103	38
LOC253012	242601_at	8.46	9.00	0.54	0.13	3.18	11.19	1.76	74	136	42	50
PSMD10	219485_s_at	8.20	9.37	1.17	0.31	5.38	10.76	0.90	17	198	17	13
RNF150	227657_at	5.75	5.38	-0.37	-0.22	4.59	8.05	0.61	184	17	95	116
RNF141	226106_at	7.57	8.64	1.06	0.34	4.60	10.03	0.88	17	188	29	11
RNF219	219303_at	6.81	6.84	0.03	0.03	4.38	9.10	0.82	109	57	119	52
RTN4IP1	1555679_a_at	5.73	6.13	0.40	0.29	3.51	7.72	0.82	54	107	90	31
EPS8L2	222546_s_at	5.34	5.53	0.19	0.12	3.75	7.35	0.74	82	95	73	60
OSTbeta	230830_at	7.41	7.95	0.54	0.15	4.38	10.52	1.63	73	133	31	64
LGALS2	208450_at	8.24	8.73	0.49	0.13	5.27	11.19	1.49	74	133	32	63
NEK4	204634_at	6.72	7.23	0.50	0.28	3.63	9.27	1.03	51	128	77	23
WDSOF1	225676_s_at	6.75	8.25	1.51	0.41	3.86	9.85	1.01	13	209	7	12
ITGAE	205055_at	7.88	8.92	1.05	0.38	4.97	10.20	0.70	13	206	14	8
JARID1A	215698_at	6.70	6.78	0.08	0.10	4.57	8.40	0.66	97	59	132	37
PAFAH1B1	200816_s_at	8.27	9.32	1.04	0.30	4.93	10.35	0.73	14	204	17	7
KIAA1618	231956_at	5.38	5.22	-0.16	-0.12	4.08	7.85	0.66	146	40	111	77
DYM	223171_at	7.16	7.24	0.08	0.10	4.68	8.58	0.69	97	64	130	34
COPA	208684_at	8.41	9.64	1.23	0.26	5.15	10.72	0.91	17	200	15	13
MICALL2	219332_at	7.80	7.50	-0.30	-0.18	6.07	9.75	0.73	164	34	87	107
IGFALS	215712_s_at	7.16	7.04	-0.12	-0.09	5.93	9.20	0.60	144	25	139	64
ACY1	202740_at	9.26	9.69	0.43	0.25	7.82	11.04	0.64	43	127	71	30
TSPAN6	209108_at	9.00	10.44	1.44	0.36	5.72	11.91	0.90	11	209	10	9
STON2	1552543_a_at	5.12	4.54	-0.58	-0.32	3.83	6.69	0.51	207	14	55	159
EDA	206217_at	7.29	7.00	-0.29	-0.29	5.92	9.26	0.55	178	19	122	87
TDP1	240822_at	4.53	3.70	-0.83	-0.28	3.04	6.98	0.51	216	8	22	198
ABHD13	234993_at	5.25	5.04	-0.20	-0.14	3.64	7.15	0.72	152	33	115	80
TMEM20	239265_at	5.64	5.56	-0.08	-0.09	4.03	7.70	0.71	130	50	108	70
WDHD1	204728_s_at	5.17	4.74	-0.43	-0.22	3.40	7.04	0.77	178	30	62	136
PIAS1	217862_at	6.84	7.34	0.50	0.32	4.35	9.07	0.77	41	128	78	22
SMEK2	233759_s_at	8.01	9.00	0.99	0.29	4.52	10.29	0.92	23	189	22	17
STOX1	1553202_at	4.74	3.90	-0.83	-0.31	3.06	6.15	0.51	215	11	16	201
SYT12	228072_at	5.87	5.21	-0.66	-0.37	3.99	8.09	0.52	213	7	56	165
MCM8	224320_s_at	5.97	5.98	0.01	0.00	3.97	7.53	0.73	113	65	106	57
RBM7	218379_at	8.09	9.01	0.93	0.23	4.69	10.51	0.97	27	182	28	18
LOC100129361	221847_at	8.44	8.77	0.33	0.17	5.83	9.79	0.63	51	109	102	17
PDCD6	203415_at	8.98	9.55	0.57	0.27	6.80	10.98	0.66	30	156	53	19
LOC729355	220167_s_at	5.81	4.96	-0.85	-0.39	4.17	7.90	0.48	219	6	20	202
WBSCR22	207628_s_at	8.60	8.87	0.26	0.24	6.90	10.46	0.76	68	84	106	38
AGT	202834_at	6.67	6.30	-0.37	-0.26	4.67	8.85	0.81	170	39	74	115
CTCF	202521_at	8.20	8.83	0.63	0.32	6.34	9.58	0.51	18	163	54	11
XIST	224588_at	8.25	8.04	-0.21	0.00	3.86	13.30	3.50	121	106	1	121
DNAJC5	224612_s_at	7.69	8.09	0.40	0.30	5.88	9.13	0.53	35	112	100	16
ALG10	1552304_at	5.32	4.55	-0.76	-0.26	3.70	7.53	0.66	206	15	24	189
KRT24	220267_at	5.32	4.58	-0.74	-0.24	3.76	7.85	0.65	206	15	36	177
MICAL2	212472_at	8.05	8.60	0.55	0.26	5.13	10.10	0.85	43	143	56	29
LOC339666	1562841_at	6.17	5.72	-0.46	-0.30	4.94	7.73	0.51	199	13	83	132
LOC91548	234341_x_at	8.89	8.10	-0.79	-0.37	7.21	11.02	0.57	212	13	18	197
GNB2L1	200651_at	12.16	12.62	0.46	0.11	9.30	13.90	0.91	57	147	39	42
ZNF326	227680_at	7.22	7.66	0.45	0.27	4.19	8.97	0.76	45	128	77	23
SH3RF2	243582_at	7.66	7.80	0.15	0.13	4.39	9.61	0.74	85	76	124	28
MKI67	212021_s_at	7.52	7.39	-0.12	-0.09	5.34	9.71	0.86	134	54	97	77
VSX1	224075_s_at	5.02	4.23	-0.79	-0.30	3.46	7.91	0.58	212	10	20	198
SPOCK1	202363_at	5.10	5.03	-0.07	-0.07	3.59	8.05	0.74	127	47	115	66
LYST	203518_at	6.22	6.31	0.09	0.07	3.89	8.20	0.72	96	57	127	44
PGDS	206726_at	5.59	5.62	0.03	0.00	3.58	7.91	0.91	110	78	70	80
TAF3	235119_at	5.99	5.60	-0.39	-0.31	4.18	7.83	0.56	190	19	106	103
FBXO45	242294_at	5.68	4.96	-0.72	-0.27	3.91	7.46	0.67	204	16	35	177
MTF2	209704_at	5.70	5.75	0.05	0.05	3.87	7.50	0.72	103	54	135	39
PTPRR	206084_at	6.01	6.31	0.30	0.00	3.25	9.64	1.91	95	127	13	88
GBP1	202270_at	7.85	7.64	-0.21	-0.12	4.69	10.79	1.18	139	55	82	91
ALKBH1	205621_at	6.66	7.59	0.93	0.36	4.90	8.62	0.49	8	202	20	6
ENO1	217294_s_at	8.16	9.17	1.01	0.02	4.12	12.29	2.35	67	160	5	63
PEX13	1556009_at	5.33	4.87	-0.46	-0.22	2.82	7.62	1.04	168	39	58	131
NDUFA4	217773_s_at	10.83	11.16	0.33	0.21	8.10	12.37	0.62	49	98	114	16
AMZ1	1561179_s_at	7.50	6.88	-0.62	-0.28	6.19	9.77	0.48	210	11	39	178
CCDC6	225010_at	8.64	9.72	1.08	0.38	5.89	11.24	0.73	12	204	15	9
TRHDE	219937_at	5.33	5.20	-0.14	-0.09	3.02	8.30	1.12	131	58	74	96
MORC4	219038_at	6.99	6.91	-0.08	-0.06	4.91	9.75	0.85	128	54	105	69
IDE	203327_at	8.87	8.33	-0.54	-0.41	4.57	10.49	0.82	195	20	84	124
BTN3A2	209846_s_at	7.63	7.78	0.15	0.07	5.23	9.72	1.01	94	105	68	55
ANKRD18A	1559406_at	4.28	3.75	-0.53	-0.30	3.22	6.38	0.42	210	9	63	156
CBFB	202370_s_at	7.86	8.35	0.49	0.33	4.15	10.39	0.99	49	117	89	22
